gamma_mr,gamma_mc,i_east,i_north,ie_over_in
0.01,0.01,0.02047960310421948,0.03430576651112357,0.5969726138484333
0.01,0.0121,0.02048572796398471,0.03430015053259643,0.5972489229899014
0.01,0.0146,0.02049478111470373,0.03429496323948181,0.5976032390409234
0.01,0.0176,0.02050575242979955,0.0342887749621243,0.5980310597987356
0.01,0.0212,0.02051903326343659,0.03428133312589603,0.598548288308443
0.01,0.0256,0.02053489898784309,0.03427230871951872,0.5991688262351604
0.01,0.0309,0.02055412040981506,0.03426156167928229,0.5999177913201773
0.01,0.0373,0.02057675674895097,0.03424831634665487,0.6008107534594401
0.01,0.045,0.02060373125291693,0.03423227999848612,0.601880191848983
0.01,0.0543,0.02063617421989263,0.03421316777955423,0.6031646748660555
0.01,0.0655,0.02067502713547564,0.03419034084857343,0.604703744459403
0.01,0.0791,0.02072150919051475,0.0341631546805632,0.6065455425375004
0.01,0.0954,0.0207771336506863,0.03413095218188696,0.6087475538321655
0.01,0.115,0.02084353751890164,0.03409291802270201,0.6113744064096306
0.01,0.139,0.02092264362409417,0.03404820256939239,0.6145006797775152
0.01,0.168,0.02101669173509432,0.03399596194584523,0.6182114148901984
0.01,0.202,0.02112817078609205,0.03393534749332503,0.6226006906293766
0.01,0.244,0.02125991304792387,0.03386566015083813,0.6277719953850572
0.01,0.295,0.02141503084428194,0.03378643280752477,0.6338352132727217
0.01,0.356,0.02159694266873041,0.03369765501182767,0.6409034296644682
0.01,0.429,0.02180932386489559,0.03360000547776629,0.6490869139687256
0.01,0.518,0.02205606358169117,0.03349519546808733,0.6584843967459502
0.01,0.625,0.02234123328347775,0.03338639163467751,0.66917184486246
0.01,0.754,0.02266903430480754,0.03327868583496384,0.6811877853959786
0.01,0.91,0.02304380347547393,0.03317960549057523,0.6945171027431171
0.01,1.1,0.02348149555897382,0.03312324952209249,0.7089127998541378
0.01,1.33,0.0239642262254126,0.03307504338654745,0.7245410367370682
0.01,1.6,0.02449661938083765,0.03305371724968131,0.74111541512245
0.01,1.93,0.02512148481267117,0.03314729561820529,0.7578743407010812
0.01,2.33,0.02579668344474559,0.0332861133898605,0.7749983647115641
0.01,2.81,0.02658404622668272,0.03358452771209731,0.7915563516204225
0.01,3.39,0.02744014056613101,0.03397252885826488,0.8077155716200192
0.01,4.09,0.02842122334713664,0.03454115539261052,0.8228220227171923
0.01,4.94,0.02954649000434313,0.03531239395284044,0.8367172739351048
0.01,5.96,0.03077933285071286,0.03622335959572453,0.8497095022170656
0.01,7.2,0.03218769642401278,0.03736370706721142,0.8614695636627328
0.01,8.69,0.03379127781345175,0.03874744501273056,0.8720904772521015
0.01,10.5,0.03555266961222703,0.04031182448390493,0.8819414667381762
0.01,12.6,0.03746356492993183,0.04203857386846349,0.8911711669181113
0.01,15.3,0.03957683608498452,0.04399145814024147,0.8996481989484536
0.01,18.4,0.04189453256197406,0.04616803093264671,0.9074359836375273
0.01,22.2,0.04426500855100159,0.04836984807949223,0.9151363981597659
0.01,26.8,0.04678800707559421,0.05073186776124115,0.9222606842663887
0.01,32.4,0.04946679250590139,0.05326369469238779,0.9287150054382345
0.01,39.1,0.05202912509466024,0.05562497803061715,0.9353554273050199
0.01,47.1,0.05479657079007964,0.05823817413780988,0.9409046832480303
0.01,56.9,0.05728337673330535,0.06049984100808623,0.946835161527929
0.01,68.7,0.06003159647378839,0.0631018615439332,0.9513443027666116
0.01,82.90000000000001,0.06253759358940238,0.06542529339132437,0.9558626388627718
0.01,100,0.06460509637044728,0.06724715245790547,0.9607112570437533
0.0121,0.01,0.02047260007572633,0.0342668575918393,0.5974460897342949
0.0121,0.0121,0.02047795468678706,0.03426118611392827,0.5977012768528208
0.0121,0.0146,0.02048739036436973,0.03425574114310356,0.5980717298972905
0.0121,0.0176,0.02049868558716076,0.03424988413701768,0.598503793623218
0.0121,0.0212,0.02051261068593539,0.03424303610066258,0.5990301393146176
0.0121,0.0256,0.0205282329663487,0.03423388602925545,0.5996465884359656
0.0121,0.0309,0.020547267164419,0.03422308560684569,0.6003920102490379
0.0121,0.0373,0.0205699444705605,0.03420996604566342,0.6012851472317676
0.0121,0.045,0.02059704508150698,0.03419413778337561,0.6023560299134312
0.0121,0.0543,0.02062934361476803,0.03417505790081207,0.6036374151769273
0.0121,0.0655,0.02066805650907338,0.03415228681770772,0.6051734286313484
0.0121,0.0791,0.02071440536679866,0.03412519364866098,0.6070120972811376
0.0121,0.0954,0.02076990011803394,0.03409312471249192,0.6092108098975079
0.0121,0.115,0.02083612521152443,0.03405523002026037,0.6118333424595419
0.0121,0.139,0.02091503146274242,0.03401068562067279,0.6149547144098026
0.0121,0.168,0.02100883250757428,0.03395864494416587,0.6186593293730237
0.0121,0.202,0.02112002652872471,0.03389826514458789,0.6230415166864869
0.0121,0.244,0.02125143514252927,0.03382885082302473,0.6282044652863299
0.0121,0.295,0.02140616605807062,0.03374994073044402,0.6342578859334488
0.0121,0.356,0.02158762877577278,0.03366152234966908,0.6413146901534893
