gamma_mc,gamma_mr,i_total,i_norm,delta_a0_measured,conductance
0.01,0.01,0.01751586476463349,0.1438130742842484,0.04670137515962435,3.079418406689272
0.0117,0.01,0.01751615039921669,0.1438154194717732,0.04670355688698374,3.079324767914078
0.0137,0.01,0.0175164834105461,0.1438181536435481,0.04670610414066693,3.079215367875778
0.016,0.01,0.01751687131426898,0.1438213385063947,0.04670905263108766,3.079089178757461
0.0187,0.01,0.01751732436324872,0.1438250582409012,0.04671253179425514,3.078939477619779
0.0218,0.01,0.01751783998706228,0.1438292917427466,0.04671661344553858,3.07876109021516
0.0255,0.01,0.0175184267354956,0.1438341092094923,0.04672129333411928,3.078555813532118
0.0298,0.01,0.01751913013004108,0.1438398843929263,0.04672671443079782,3.078322243391474
0.0349,0.01,0.01751995387227952,0.1438466476846803,0.04673304337258598,3.078050075571626
0.0408,0.01,0.01752093035367317,0.1438546650331293,0.04674041461794781,3.077736177759336
0.0476,0.01,0.01752209266975161,0.1438642081673551,0.04674896068904492,3.07737767956557
0.0557,0.01,0.01752356979613589,0.1438763360348218,0.04675744391689807,3.077078727625337
0.06510000000000001,0.01,0.0175250196845619,0.1438882402664835,0.04677076361785894,3.076456938828795
0.0761,0.01,0.01752689652053708,0.143903649928247,0.04678426550775701,3.07589845360268
0.089,0.01,0.01752910362673562,0.1439217712560803,0.04680007039847053,3.075246896653895
0.104,0.01,0.01753171682882238,0.1439432268125642,0.04681842801909111,3.074499356404461
0.122,0.01,0.01753482085644548,0.1439687122659598,0.04683968513487176,3.073648165042345
0.142,0.01,0.01753846403040008,0.1439986243515806,0.04686455646641208,3.072655226232318
0.166,0.01,0.01754295393926327,0.1440354885090486,0.04689123961319777,3.071692915290495
0.194,0.01,0.01754813770803467,0.1440780495663194,0.04692321199203955,3.07050697191748
0.227,0.01,0.01755429297075657,0.1441285870229028,0.04696004806201834,3.069174606306997
0.265,0.01,0.01756162918334209,0.1441888206054123,0.0470018580831834,3.067725968412322
0.31,0.01,0.0175703484804971,0.1442604099300794,0.04705073779107924,3.066060527480846
0.363,0.01,0.01758067938125843,0.1443452312402788,0.04710805688754067,3.064130443437072
0.424,0.01,0.01759312524947501,0.1444474173780696,0.04717181979244515,3.062154863086365
0.495,0.01,0.01760805657587206,0.1445700102378087,0.04724385464232274,3.060080751926996
0.579,0.01,0.01762601553744039,0.1447174613347885,0.04732431056156843,3.057994075719552
0.677,0.01,0.0176476130549272,0.1448947866012496,0.04741365323660414,3.055971786822544
0.791,0.01,0.01767364863871178,0.1451085503745579,0.04751111624247518,3.054202086812478
0.925,0.01,0.01770506157172193,0.1453664645871406,0.0476154664851091,3.052925347956035
1.08,0.01,0.01775942682995272,0.1458128276428895,0.04773212578727678,3.05481528923978
1.26,0.01,0.01780535187012222,0.1461898927379991,0.04784164067547658,3.055703999151004
1.48,0.01,0.01786093064082736,0.1466462192732544,0.04794563245817625,3.058593906362093
1.73,0.01,0.01792717212515065,0.1471900914504888,0.04804146359297448,3.063813640182555
2.02,0.01,0.01798918317806027,0.1476992298960277,0.04809748292338907,3.070830757012523
2.36,0.01,0.01808443510955444,0.1484812908038824,0.04811223779149777,3.086143933843824
2.76,0.01,0.01821696811935216,0.149569446018556,0.04808138725043398,3.110755628566146
3.22,0.01,0.0183515219834505,0.1506741933497799,0.04794705425373469,3.142511999849159
3.77,0.01,0.01848946056974022,0.1518067307621949,0.04768665412871888,3.183421725341191
4.41,0.01,0.01869614823167148,0.1535037287967409,0.04728691819185228,3.246219772114271
5.15,0.01,0.01888875394370454,0.155085107732031,0.0466956739087962,3.321187912073739
6.02,0.01,0.01915985021835427,0.1573109292491681,0.04591842325201084,3.425878288237592
7.04,0.01,0.01941867426050704,0.1594359902553379,0.04489621114260109,3.551212590054228
8.23,0.01,0.01973940063632267,0.1620692970734644,0.04365645245299297,3.712378994788281
9.619999999999999,0.01,0.02012860944916855,0.1652648752916124,0.04218577759751135,3.917549579585366
11.2,0.01,0.02050466308315902,0.1683524436147665,0.04047250486686571,4.159674430049777
13.1,0.01,0.02098469273564481,0.1722937014972188,0.03858713438820954,4.465055626153566
15.4,0.01,0.02144483831824663,0.1760717022834488,0.03651464391852918,4.821947673275875
18,0.01,0.02201960801912401,0.1807908182848188,0.03434782833963651,5.263529807390787
21,0.01,0.02260195589383598,0.1855721544786403,0.03210271552858497,5.780574989470993
24.5,0.01,0.02317890963307797,0.1903092024106224,0.02980997107603316,6.384078734099429
28.7,0.01,0.02388534458071476,0.1961093489044803,0.02757088794963826,7.112913782925635
33.5,0.01,0.02451814820555448,0.2013049493460963,0.02533058412726715,7.947110431196146
39.2,0.01,0.02522829035019201,0.2071355335833839,0.02319468711669316,8.930300828861318
45.8,0.01,0.02603246392555194,0.2137381578719761,0.02116589786566948,10.09823250723768
53.6,0.01,0.02678247211220439,0.2198960601228903,0.01922445146329772,11.43835289879162
62.6,0.01,0.02753835604599169,0.2261022048825548,0.0174016059094913,12.9931804029209
73.2,0.01,0.02817459297896303,0.2313259943176352,0.01566565713537335,14.76644052136802
85.5,0.01,0.02890234400505204,0.2373011553377578,0.01408927945527693,16.84267503466121
100,0.01,0.02961208823087278,0.2431284724838039,0.01263656376326174,19.2400780021109
