gamma_mc,gamma_mr,i_total,i_norm,delta_a0_measured,conductance
0.01,0.01,0.02220052117060224,0.07456235645682066,0.4711525190186526,0.1582552431474293
0.0117,0.01,0.02220362939431131,0.07457279569301525,0.4711206426451851,0.1582881091227799
0.0137,0.01,0.02220723400170078,0.0745849020764193,0.471083658870481,0.1583262349945481
0.016,0.01,0.02221146875212128,0.07459912484929621,0.4710405425987777,0.1583709216147837
0.0187,0.01,0.0222162345269838,0.07461513111335469,0.470992656307021,0.1584210074492459
0.0218,0.01,0.02222201101069301,0.07463453192985278,0.4709338292824394,0.1584819931997096
0.0255,0.01,0.02222862565065242,0.07465674776608008,0.4708665661055629,0.1585518130615009
0.0298,0.01,0.02223645531752663,0.07468304437452124,0.4707865815230454,0.1586346070716662
0.0349,0.01,0.02224559957025852,0.07471375613243392,0.4706931115538729,0.1587313565855799
0.0408,0.01,0.02225615452049398,0.07474920583903281,0.4705868882665108,0.158842517084113
0.0476,0.01,0.02226858960672543,0.07479097014380004,0.4704599092086117,0.1589741626860625
0.0557,0.01,0.02228292149586688,0.07483910502399736,0.470314142395167,0.1591257805747974
0.06510000000000001,0.01,0.0222997745530336,0.07489570746347145,0.4701408941747958,0.1593048134962402
0.0761,0.01,0.02231938034429001,0.0749615551967316,0.4699383918541784,0.1595135798566382
0.089,0.01,0.02234204583293377,0.07503767918636846,0.4697045551502952,0.1597550595658116
0.104,0.01,0.02236851003568039,0.07512656148347203,0.4694289944252121,0.160038179097693
0.122,0.01,0.02239912032529882,0.07522936876931169,0.4691094362284904,0.1603663515578261
0.142,0.01,0.02243475468503534,0.07534904982600252,0.4687335153559787,0.1607502927730244
0.166,0.01,0.02247604132242734,0.07548771454249585,0.4682945333412526,0.1611970868075176
0.194,0.01,0.02252370559890333,0.07564779910742785,0.4677842492636844,0.1617151480121471
0.227,0.01,0.02257887631541846,0.07583309469572361,0.467186944186229,0.1623185228941141
0.265,0.01,0.02264241494307449,0.07604649463204312,0.46649244519022,0.1630176338676479
0.31,0.01,0.02271566890341969,0.07629252434734392,0.4656813093018517,0.1638299043217377
0.363,0.01,0.02279981256175397,0.07657512804831508,0.464737815883713,0.1647705984560459
0.424,0.01,0.02289626249464188,0.07689906342897398,0.4636417746013969,0.1658587893532368
0.495,0.01,0.02300660989348823,0.07726967464227108,0.4623697645579031,0.1671166251888309
0.579,0.01,0.02313252246706388,0.07769256283130041,0.4608973384336006,0.1685680440146287
0.677,0.01,0.02327576002913101,0.07817363848167738,0.4591989975857832,0.1702391313845883
0.791,0.01,0.02343840486694998,0.07871989513394817,0.4572445414648678,0.1721614759615377
0.925,0.01,0.02362261401297231,0.07933857736680093,0.455004884179403,0.1743686279541533
1.08,0.01,0.02384551652697054,0.08008721459815864,0.4524260182459132,0.1770172610953328
1.26,0.01,0.02408003444999519,0.08087486317801414,0.449523215864002,0.1799125391612296
1.48,0.01,0.02434436989327445,0.08176265645973488,0.446249463453427,0.1832218594213908
1.73,0.01,0.02464231158431258,0.08276331920993873,0.442578820600793,0.1870024396955755
2.02,0.01,0.02496420057892169,0.08384441103526731,0.438520757454729,0.1911982719402355
2.36,0.01,0.02534338885129735,0.0851179474046098,0.4339897876012295,0.196128917860206
2.76,0.01,0.02578604909253037,0.08660465983097322,0.4289679458884819,0.2018907488567635
3.22,0.01,0.02627152136631003,0.0882351601444251,0.4235015923875184,0.2083467021859198
3.77,0.01,0.02680782137598197,0.09003636977286872,0.4175752538820142,0.2156171107742617
4.41,0.01,0.02744953216520242,0.09219161055484651,0.4110588197662717,0.224278390638271
5.15,0.01,0.02814732595824094,0.09453521092035468,0.4040535630110488,0.2339670270839058
6.02,0.01,0.02897723703194747,0.09732253851638922,0.3963810023233657,0.2455277572485524
7.04,0.01,0.02988409126255882,0.1003682863111193,0.388135354347464,0.2585909404719371
8.23,0.01,0.0309317043022583,0.1038867846515241,0.3791697985803201,0.2739848612428914
9.619999999999999,0.01,0.03213571624305361,0.1079305621294477,0.3694351870201861,0.2921501955458032
11.2,0.01,0.03344224148729968,0.112318639338658,0.3589658840218247,0.3128950252326184
13.1,0.01,0.03494935065145514,0.1173803948647357,0.3476223086941723,0.3376664613547672
15.4,0.01,0.0365605627930087,0.1227917891785393,0.3354817785699848,0.3660162698014423
18,0.01,0.03839181028959336,0.1289421911241393,0.3224666032797429,0.3998621556858734
21,0.01,0.04035106334967027,0.1355225107451047,0.3086490699691558,0.4390828417485524
24.5,0.01,0.04241648284718572,0.1424593994615076,0.2940616410678347,0.4844542081183746
28.7,0.01,0.04471107138744165,0.1501659720840843,0.2788605990101104,0.5384983486987343
33.5,0.01,0.0470219883980642,0.1579273852763267,0.2630414488178002,0.6003897332002517
39.2,0.01,0.04948953338421808,0.1662148469722476,0.2468833980320448,0.6732524272477542
45.8,0.01,0.05212853064467945,0.17507814585208,0.2306338781518276,0.7591172088639337
53.6,0.01,0.05475033636987104,0.1838837054846679,0.2142683922668998,0.8581933319199794
62.6,0.01,0.05740622970864869,0.1928037512941989,0.1980584255504599,0.97346906983807
73.2,0.01,0.05989736343255765,0.2011704377911658,0.1819077002522993,1.105892919937693
85.5,0.01,0.06250658617804668,0.2099337364060659,0.1664595603557235,1.26116959553082
100,0.01,0.06506764240880031,0.2185352636457182,0.1516339747028734,1.441202501444269
