gamma_mr,gamma_mc,ie_over_iw,in_over_ie,d_ie_iw_dlog_mr,d_ie_iw_dlog_mc,d_in_ie_dlog_mr,d_in_ie_dlog_mc,det_j,abs_det_j,cond_j,good_invertibility,good_condition,good_both
0.0126,0.0126,3.8936376254097795,1.7766092469277095,-0.02208193642133978,-0.009127715295888883,-0.013828269797991649,-0.009164280432998974,7.614454811800489e-05,7.614454811800489e-05,11.02145125372552,1,0,0
0.0126,0.0168,3.892497220192591,1.7754642733084864,-0.021512921423316147,-0.010333832023074394,-0.013766238678787181,-0.010709714307123908,8.813924425918508e-05,8.813924425918508e-05,9.811955454688915,1,1,1
0.0126,0.0222,3.8910956843044238,1.77397484538498,-0.021972992718029064,-0.013470562209467603,-0.013796427317647367,-0.014363277390861276,0.0001297585570656592,0.0001297585570656592,8.051864009203026,1,1,1
0.0126,0.0295,3.8892034961948383,1.7719522690808227,-0.021694235723410706,-0.01734463805361111,-0.01342183914825952,-0.018555681923884227,0.00016975439562502608,0.00016975439562502608,7.500860901356708,1,1,1
0.0126,0.0391,3.8868319597642693,1.7694134174593223,-0.02196126484166484,-0.022696429162065778,-0.013783817722239789,-0.02437075728691214,0.0002223692126541685,0.0002223692126541685,7.88394740850622,1,1,1
0.0126,0.0518,3.8836540435088525,1.765993430202705,-0.021656766580576272,-0.02994950758741391,-0.013555637994020516,-0.03232821276623699,0.00029413987489144684,0.00029413987489144684,8.706997639206083,1,1,1
0.0126,0.0687,3.879500919906085,1.7615001181958396,-0.021539787423288218,-0.03913298030716088,-0.013486955471349439,-0.04260563175444733,0.0003899314881618205,0.0003899314881618205,10.14033755495936,1,0,0
0.0126,0.091,3.874077748010328,1.7555673364991482,-0.02124089403644481,-0.05056480217319822,-0.013038859368443114,-0.05532812350664698,0.0005159114641105414,0.0005159114641105414,12.010262316866461,1,0,0
0.0126,0.121,3.867070643696942,1.7478988812135317,-0.021056035587910516,-0.06544051328386515,-0.013167603690849135,-0.07221078379832603,0.0006587780892407805,0.0006587780892407805,15.286643026121633,1,0,0
0.0126,0.16,3.8580396792639307,1.7378700193988812,-0.020776979223959754,-0.08439014397633272,-0.0130093470019072,-0.09447188257126604,0.0008649796749025391,0.0008649796749025391,19.19408576583111,1,0,0
0.0126,0.212,3.8465173827286634,1.724890207864232,-0.020272513877096988,-0.10648581615347243,-0.01264205094694734,-0.12122733182219775,0.0011113836537094786,0.0011113836537094786,23.897765140050993,1,0,0
0.0126,0.281,3.831994703521966,1.708219470334002,-0.019732074988292596,-0.1326195268942052,-0.012276610598438474,-0.15436177586687094,0.001417759847301816,0.001417759847301816,29.559028004890838,1,0,0
0.0126,0.373,3.8139761354179407,1.6870140003294751,-0.01906278935399684,-0.16300706426105382,-0.011803705463825932,-0.19527877920294195,0.0017984708581909156,0.0017984708581909156,36.22976764651457,1,0,0
0.0126,0.494,3.7920546101022525,1.6603721410197192,-0.01825489212454745,-0.19582643984691983,-0.011221750617798603,-0.2437541442609883,0.0022521901360622446,0.0022521901360622446,43.58938273901357,1,0,0
0.0126,0.655,3.766090212746665,1.6274081978034773,-0.017574892002413918,-0.22756097277814152,-0.010376646139911048,-0.29711774933487717,0.0028604926667880506,0.0028604926667880506,49.08987742786302,1,0,0
0.0126,0.869,3.736235535655158,1.5874912881774972,-0.016223068371199027,-0.2843341010638761,-0.009705744288382908,-0.3567370863954084,0.0030276960657418407,0.0030276960657418407,68.83803124035894,1,0,0
0.0126,1.15,3.6965828820936992,1.540201483844497,-0.014952508593119588,-0.2963122113631102,-0.008723882865918534,-0.41276593973836634,0.003586893237211936,0.003586893237211936,72.04745974325519,1,0,0
0.0126,1.53,3.663440024479866,1.4860863968948257,-0.013818171821006751,-0.24165441014012423,-0.007669621080998574,-0.4655175867376312,0.00457920424091403,0.00457920424091403,60.114608000134076,1,0,0
0.0126,2.02,3.6374612778320277,1.4263109633942732,-0.011586253473092313,-0.21944867025931647,-0.00596629558014547,-0.5049564395491036,0.004541257670049171,0.004541257670049171,66.77457566204139,1,0,0
0.0126,2.68,3.6100167021397147,1.363158102975844,-0.011795694055624398,-0.2066018142383085,-0.005417763701969781,-0.5152452255434186,0.004958355234189943,0.004958355234189943,62.16793082604361,1,0,0
0.0126,3.56,3.5866168546969446,1.2995098200333388,-0.01096596288396695,-0.09926466023988087,-0.004361265230784846,-0.5063189826445359,0.005119355659778024,0.005119355659778024,52.00912844543133,1,0,0
0.0126,4.71,3.5857081653253675,1.2391676153272229,-0.010537808338600371,0.02250867229207863,-0.0034300351410038064,-0.4691181813787503,0.0050206830204612045,0.0050206830204612045,43.93566464081683,1,0,0
0.0126,6.25,3.5921186499013174,1.1848432538715488,-0.010405462182847805,0.13961303250310894,-0.0026711416532161814,-0.40861879036207427,0.004624793556764458,0.004624793556764458,40.31786775923382,1,0,0
0.0126,8.29,3.6199878590727024,1.1388379631315626,-0.010696687651293078,0.3076417089405215,-0.0020952187513193403,-0.3382512306885164,0.004262744439600647,0.004262744439600647,49.050376520432394,1,0,0
0.0126,11.0,3.667648586594209,1.1017982918337916,-0.010446374867303094,0.4080104235564722,-0.001578422642861679,-0.2674722496428305,0.0034381282774350033,0.0034381282774350033,69.2457808224666,1,0,0
