gamma_mc,gamma_mr,i_total,i_norm,delta_a0_measured,conductance
0.01,0.01,0.01449838558176402,0.09665590387842683,0.2755505313592134,0.3507737887553706
0.0117,0.01,0.01449792557633602,0.09665283717557349,0.2755406683795935,0.3507752149400375
0.0137,0.01,0.0144973756883107,0.09664917125540465,0.275529220960709,0.3507764835918692
0.016,0.01,0.01449672774776649,0.09664485165177657,0.2755156454956331,0.3507780891278219
0.0187,0.01,0.0144959745442565,0.09663983029504336,0.2754996697892107,0.3507802037257761
0.0218,0.01,0.01449509837654101,0.09663398917694009,0.2754811710045357,0.3507825555720069
0.0255,0.01,0.01449405666464657,0.09662704443097715,0.2754606644557973,0.3507834580370104
0.0298,0.01,0.01449285156300006,0.09661901042000041,0.2754364132842453,0.350785174944503
0.0349,0.01,0.01449145736693135,0.09660971577954233,0.2754077569614402,0.3507879256758503
0.0408,0.01,0.01448977816132267,0.09659852107548449,0.2753765638662024,0.3507870085938721
0.0476,0.01,0.01448787266671485,0.09658581777809902,0.2753383749725294,0.3507895250261988
0.0557,0.01,0.01448557787341812,0.09657051915612078,0.2752971839995162,0.3507864401413219
0.06510000000000001,0.01,0.0144831002887037,0.09655400192469135,0.2752414892950706,0.3507974112913673
0.0761,0.01,0.01448011779342046,0.09653411862280309,0.2751812245591534,0.3508019806854663
0.089,0.01,0.01447665428387411,0.09651102855916073,0.2751115553744211,0.3508068878743069
0.104,0.01,0.01447263678567163,0.09648424523781089,0.2750311705592954,0.3508120372014683
0.122,0.01,0.01446798239396585,0.09645321595977231,0.274938654699635,0.3508172252648342
0.142,0.01,0.01446259872711162,0.09641732484741079,0.2748324616083064,0.3508221855714613
0.166,0.01,0.01445637773575534,0.09637585157170224,0.2747111638662395,0.3508261193878124
0.194,0.01,0.01444920218126314,0.09632801454175427,0.2745732755592984,0.3508280780259357
0.227,0.01,0.01444094235621561,0.09627294904143743,0.2744175546710931,0.350826495618426
0.265,0.01,0.01443152190353403,0.09621014602356018,0.2742400375088244,0.3508245801653391
0.31,0.01,0.01442077778683491,0.09613851857889938,0.2740406277752329,0.3508184876067057
0.363,0.01,0.01440852346400412,0.0960568230933608,0.2738209496711488,0.3508015847900692
0.424,0.01,0.01439478988488888,0.09596526589925922,0.2735731592611849,0.3507846535764848
0.495,0.01,0.01437934177423456,0.09586227849489704,0.2733041242603919,0.3507531353737047
0.579,0.01,0.01436217061882994,0.09574780412553294,0.2730126686871454,0.3507082824616232
0.677,0.01,0.01434328325468532,0.09562188836456881,0.2727012068240922,0.3506471037594284
0.791,0.01,0.01432277942693035,0.09548519617953567,0.2723737369501273,0.3505668250130128
0.925,0.01,0.01430079038821602,0.09533860258810678,0.2720410190503251,0.3504567175969519
1.08,0.01,0.01429783714009524,0.09531891426730162,0.2716175019774304,0.3509306785216734
1.26,0.01,0.01427367353236732,0.09515782354911545,0.271278929338918,0.3507748418979919
1.48,0.01,0.01425008663628558,0.09500057757523719,0.2709584885727128,0.3506093426917807
1.73,0.01,0.01422849201288834,0.09485661341925561,0.2706687593477785,0.3504527587440399
2.02,0.01,0.01419423223174027,0.09462821487826843,0.2704975729481813,0.3498301809029398
2.36,0.01,0.01418336134371447,0.0945557422914298,0.2702847406069252,0.3498375160917505
2.76,0.01,0.01419692227763165,0.09464614851754434,0.2700050365172097,0.3505347520119749
3.22,0.01,0.01420665659861149,0.09471104399074327,0.269842972915167,0.3509857713453166
3.77,0.01,0.0142189671489993,0.09479311432666199,0.2697415201676923,0.3514220364285455
4.41,0.01,0.01428076612350359,0.09520510749002396,0.2694325932839082,0.353354085077984
5.15,0.01,0.01434039987489291,0.09560266583261938,0.2691487762446343,0.3552037916223864
6.02,0.01,0.01445965659439515,0.096397710629301,0.2685312390763825,0.3589813645550605
7.04,0.01,0.01458798492585373,0.09725323283902486,0.2677567102330456,0.3632149228095132
8.23,0.01,0.01477355799453189,0.09849038663021259,0.2665428768981645,0.3695104809266461
9.619999999999999,0.01,0.01502323649635976,0.1001549099757317,0.2648100169401115,0.3782142047835842
11.2,0.01,0.01529890514225785,0.1019927009483856,0.262611986018059,0.3883779354281716
13.1,0.01,0.01566789506147768,0.1044526337431845,0.2596856420155091,0.4022272195431827
15.4,0.01,0.01607118493151373,0.1071412328767582,0.2561376581419166,0.4182955120851271
18,0.01,0.01658488994935191,0.1105659329956794,0.2517436230703812,0.4392005312673519
21,0.01,0.01715885099113434,0.1143923399408956,0.2465987120354354,0.4638805247468519
24.5,0.01,0.01779287103909505,0.1186191402606337,0.2406423495457264,0.4929271197881731
28.7,0.01,0.01855999713148957,0.1237333142099305,0.2338179804554243,0.529186480735682
33.5,0.01,0.01936054894915432,0.1290703263276955,0.2261887969747349,0.5706309421775322
39.2,0.01,0.02027419303875194,0.1351612869250129,0.2177619813296559,0.6206835835149798
45.8,0.01,0.0213119037104136,0.142079358069424,0.2086358964246132,0.6809919122463272
53.6,0.01,0.02239433303249995,0.1492955535499997,0.1988382049378755,0.750839375142444
62.6,0.01,0.02354987944735001,0.1569991963156668,0.1884846569190614,0.8329547820069249
73.2,0.01,0.0247004782555219,0.1646698550368126,0.1775512264171382,0.9274498315767075
85.5,0.01,0.02596026169466709,0.1730684112977806,0.1664024140029403,1.040059498744547
100,0.01,0.02725829800303141,0.1817219866868761,0.1550734360074068,1.17184471670697
